short_name,long_name,age,nationality_name,player_positions,club_name,league_name,league_level,value_eur,wage_eur,release_clause_eur,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,preferred_foot,weak_foot,skill_moves,attacking_finishing,attacking_short_passing,attacking_crossing,skill_dribbling,skill_ball_control,mentality_vision,mentality_composure,power_stamina,power_strength,movement_acceleration,movement_sprint_speed,movement_agility,defending_marking_awareness,defending_standing_tackle,mentality_positioning,work_rate,body_type
N. Sekar,Nandhakumar Sekar,27,India,"LM, RM",East Bengal,Super League,1.0,170000.0,550.0,230000.0,57,57,1,80.0,51.0,51.0,56.0,26.0,66.0,Right,4,2,49,52,53,54,53,52,45.0,68,63,83,77,74,26,25,52,Medium/Low,Lean (170-185)
N. Poojary,Nikhil Poojary,27,India,"RB, RW",Hyderabad,Super League,1.0,160000.0,500.0,216000.0,57,57,1,74.0,49.0,49.0,57.0,50.0,62.0,Right,4,2,48,50,51,56,55,49,51.0,79,58,73,75,67,50,53,51,Medium/Medium,Normal (170-185)
S. Singh,Sandeep Singh,28,India,"RB, CB, LB",Kerala Blasters,Super League,1.0,150000.0,550.0,203000.0,57,57,1,67.0,33.0,42.0,51.0,54.0,67.0,Right,3,2,28,49,45,47,51,30,43.0,67,73,69,65,69,54,58,32,Medium/Medium,Lean (170-185)
J. Barden,Jonathan Barden,30,England,RB,Sutton United,League Two,4.0,140000.0,2000.0,245000.0,57,57,1,69.0,37.0,48.0,55.0,53.0,66.0,Right,3,2,33,50,53,53,52,46,54.0,64,72,70,69,69,53,53,49,Medium/Medium,Normal (170-185)
S. Al Harthi,Saleh Mussad Al Harthi,27,Saudi Arabia,"RM, LM",Al Okhdood,Pro League,1.0,170000.0,3000.0,281000.0,57,57,1,71.0,47.0,51.0,57.0,35.0,52.0,Left,2,2,51,53,50,58,55,50,51.0,59,53,72,71,63,34,34,53,High/Medium,Lean (170-)
C. Ghiocel,Costin Ghiocel,29,Romania,LB,Oțelul Galați,Liga 1,1.0,140000.0,1000.0,189000.0,57,57,1,65.0,32.0,38.0,49.0,55.0,71.0,Left,3,2,32,39,42,45,48,32,45.0,68,80,66,64,61,54,61,38,Medium/Medium,Normal (170-185)
M. Adăscăliței,Mihai Adăscăliței,28,Romania,"RB, CM",Oțelul Galați,Liga 1,1.0,150000.0,1000.0,203000.0,57,57,1,57.0,44.0,57.0,57.0,53.0,63.0,Right,4,3,41,62,50,55,58,59,56.0,62,72,58,57,60,50,57,49,Medium/Medium,Normal (170-185)
A. Al Duqail,Abdelraouf Al Duqail,27,Saudi Arabia,GK,Al Fayha,Pro League,1.0,130000.0,3000.0,215000.0,57,57,1,,,,,,,Right,2,1,8,25,13,5,13,35,34.0,27,63,16,29,24,7,13,8,Medium/Medium,Stocky (185+)
K. N'Goma,Kablan N'Goma,27,France,RW,Botoşani,Liga 1,1.0,170000.0,2000.0,230000.0,57,57,1,76.0,62.0,42.0,57.0,26.0,53.0,Left,3,3,63,41,48,54,58,42,50.0,70,52,75,76,70,21,26,54,Medium/Medium,Normal (170-185)
E. Tezgel,Emre Tezgel,17,England,ST,Stoke City,Championship,2.0,575000.0,950.0,1700000.0,56,82,1,68.0,59.0,40.0,56.0,18.0,48.0,Right,2,2,61,46,33,56,56,43,51.0,51,47,64,71,56,19,13,54,High/Medium,Normal (170-185)
T. Ayari,Taha Ayari,18,Sweden,LM,AIK,Allsvenskan,1.0,450000.0,500.0,1000000.0,56,79,1,75.0,48.0,49.0,63.0,27.0,39.0,Right,3,3,50,52,50,63,62,47,48.0,46,38,76,74,83,25,29,46,Medium/Medium,Lean (170-185)
D. Ozoh,David Ozoh,18,England,"CDM, CM",Crystal Palace,Premier League,1.0,425000.0,2000.0,1200000.0,56,79,1,67.0,48.0,53.0,59.0,53.0,61.0,Right,3,2,43,56,49,59,55,53,55.0,58,62,65,69,69,52,53,58,High/High,Normal (185+)
L. Lipani,Luca Lipani,18,Italy,"CDM, CM",Sassuolo,Serie A,1.0,425000.0,700.0,1100000.0,56,79,1,62.0,44.0,55.0,50.0,52.0,63.0,Right,3,2,35,60,48,48,50,57,53.0,65,63,60,63,52,52,55,54,Medium/Medium,Normal (185+)
F. Rózga,Filip Rózga,16,Poland,LM,Cracovia Kraków,Ekstraklasa,1.0,450000.0,500.0,1100000.0,56,79,1,75.0,43.0,53.0,56.0,25.0,50.0,Left,3,3,49,56,54,59,54,51,45.0,52,53,75,75,64,30,25,45,Medium/Low,Normal (170-185)
P. Lervik,Peder Hoel Lervik,18,Norway,GK,Molde,Eliteserien,1.0,400000.0,500.0,900000.0,56,78,1,,,,,,,Right,5,1,8,28,14,14,21,45,39.0,27,48,41,39,39,13,12,8,Medium/Medium,Lean (185+)
N. Tsakiris,Niko Tsakiris,18,United States,"CAM, CM",San Jose Earthquakes,Major League Soccer,1.0,450000.0,500.0,1100000.0,56,78,1,67.0,34.0,54.0,62.0,32.0,48.0,Left,3,4,32,65,41,65,62,60,38.0,42,54,68,67,70,29,27,48,High/Medium,Lean (170-185)
E. Austbø,Edvin Austbø,18,Norway,LW,Viking,Eliteserien,1.0,450000.0,500.0,1000000.0,56,78,1,71.0,57.0,45.0,59.0,19.0,46.0,Right,2,2,59,50,41,58,58,43,48.0,65,40,73,70,73,18,12,52,Medium/Low,Lean (170-185)
D. Szala,Dominik Szala,17,Poland,"CB, RB",Górnik Zabrze,Ekstraklasa,1.0,425000.0,500.0,999000.0,56,78,1,67.0,24.0,31.0,38.0,57.0,61.0,Right,3,2,19,36,23,31,34,40,37.0,51,67,66,68,63,58,59,25,Medium/Medium,Normal (185+)
J. Manzambi,Johan Manzambi,17,Switzerland,CM,Freiburg II,3. Liga,3.0,450000.0,500.0,1100000.0,56,77,1,69.0,45.0,55.0,61.0,53.0,61.0,Right,3,2,46,60,50,59,59,54,55.0,60,64,67,70,71,58,53,49,Medium/Medium,Normal (185+)
R. Richards,Rico Richards,19,England,"LM, RM",Aston Villa,Premier League,1.0,400000.0,6000.0,1200000.0,56,76,1,68.0,49.0,51.0,59.0,26.0,45.0,Left,3,2,48,53,53,60,59,55,48.0,54,45,72,64,62,22,29,46,Medium/Medium,Lean (170-185)
A. Murphy,Adam Murphy,18,Republic of Ireland,CM,St Patrick's,Premier Division,1.0,400000.0,500.0,1000000.0,56,76,1,77.0,52.0,54.0,60.0,52.0,59.0,Right,3,3,52,58,47,58,58,58,59.0,61,58,80,74,74,50,54,56,Medium/Medium,Lean (170-185)
J. Abdulai,Jalal Abdulai,18,Ghana,"RW, ST",Elfsborg,Allsvenskan,1.0,400000.0,500.0,900000.0,56,76,1,75.0,54.0,49.0,58.0,24.0,55.0,Right,3,3,55,51,56,60,63,41,40.0,52,66,71,78,52,22,26,48,Medium/Medium,Lean (185+)
M. Mędrala,Mateusz Mędrala,17,Poland,GK,Lech Poznań,Ekstraklasa,1.0,350000.0,500.0,840000.0,56,76,1,,,,,,,Left,2,1,9,29,14,11,18,38,24.0,35,66,26,32,24,8,18,9,Medium/Medium,Normal (185+)
E. Højlund,Emil Højlund,18,Denmark,ST,København,Superliga,1.0,400000.0,2000.0,920000.0,56,76,1,62.0,55.0,47.0,55.0,28.0,64.0,Right,3,2,56,55,34,54,57,48,52.0,58,72,65,60,58,25,24,54,Medium/Medium,Stocky (185+)
J. Busse,Jonah Busse,17,Germany,GK,DSC Arminia Bielefeld,3. Liga,3.0,350000.0,500.0,858000.0,56,76,1,,,,,,,Right,3,1,9,16,11,12,17,30,30.0,22,60,22,24,30,9,10,8,Medium/Medium,Lean (185+)
S. Amo-Ameyaw,Samuel Amo-Ameyaw,16,England,"LW, RW",Southampton,Championship,2.0,375000.0,1000.0,1100000.0,56,76,1,73.0,54.0,49.0,59.0,28.0,38.0,Left,3,3,54,52,51,59,55,47,49.0,42,37,76,70,74,23,28,52,Medium/Medium,Lean (170-185)
J. Beck,Julius Beck,18,Denmark,"CM, CDM",AGF,Superliga,1.0,350000.0,850.0,674000.0,56,75,1,68.0,50.0,53.0,59.0,54.0,58.0,Right,3,2,55,60,48,62,57,50,48.0,58,55,68,68,52,52,57,50,Medium/Medium,Lean (170-185)
V. Solheim,Vegard Solheim,18,Norway,"RB, CB",Haugesund,Eliteserien,1.0,350000.0,500.0,656000.0,56,75,1,73.0,39.0,50.0,57.0,52.0,54.0,Right,3,2,36,56,45,54,56,46,50.0,53,58,71,74,73,50,53,45,Medium/Medium,Normal (170-185)
A. Pond,Alfie Pond,19,England,CB,Stockport County,League Two,4.0,350000.0,4000.0,,56,75,1,66.0,21.0,33.0,41.0,54.0,65.0,Right,3,2,17,40,26,36,42,32,42.0,52,73,64,67,48,55,56,29,Medium/Medium,Normal (185+)
A. Andresen,Aske Leth Andresen,17,Denmark,GK,Silkeborg,Superliga,1.0,325000.0,500.0,609000.0,56,75,1,,,,,,,Right,2,1,5,41,12,10,40,42,32.0,22,57,30,31,40,9,11,6,Medium/Medium,Lean (185+)
R. Welch,Reece Welch,19,England,CB,Forest Green Rovers,League Two,4.0,350000.0,3000.0,,56,75,1,57.0,24.0,30.0,30.0,55.0,65.0,Right,3,2,17,42,20,22,35,25,42.0,52,74,42,70,37,50,60,25,Medium/Medium,Normal (185+)
R. Monticelli,Roméo Monticelli,17,Belgium,"LWB, CB",Sporting Charleroi,Jupiler Pro League,1.0,350000.0,500.0,744000.0,56,75,1,73.0,30.0,35.0,50.0,55.0,59.0,Left,3,2,23,32,49,52,40,37,36.0,65,59,71,74,67,49,64,44,Medium/Medium,Lean (170-185)
J. Miley,Jamie Miley,19,England,"CM, CDM",Newcastle United,Premier League,1.0,375000.0,7000.0,947000.0,56,75,1,57.0,42.0,56.0,60.0,54.0,52.0,Right,3,2,36,62,46,60,60,56,50.0,45,53,56,57,57,52,57,39,Medium/Medium,Normal (170-185)
B. Klaverboer,Bernt Klaverboer,17,Netherlands,GK,SC Heerenveen,Eredivisie,1.0,325000.0,500.0,691000.0,56,75,1,,,,,,,Right,2,1,8,30,13,20,23,28,28.0,22,65,21,30,24,10,16,6,Medium/Medium,Lean (185+)
E. Villanueva,Eduardo Andrés Villanueva Silva,18,Chile,GK,Colo-Colo,Primera Division,1.0,325000.0,500.0,658000.0,56,75,1,,,,,,,Right,3,1,5,18,13,6,14,57,22.0,20,54,17,32,28,7,13,6,Medium/Medium,Normal (185+)
M. Gurgul,Michał Gurgul,17,Poland,"CB, LB",Lech Poznań,Ekstraklasa,1.0,325000.0,500.0,658000.0,56,75,1,70.0,29.0,49.0,53.0,55.0,62.0,Left,2,2,26,59,36,52,57,44,39.0,68,64,63,76,52,54,56,25,Medium/Medium,Lean (170-185)
A. Onyegbule,Adriano Onyegbule,17,Germany,CAM,Basel,Super League,1.0,350000.0,500.0,744000.0,56,75,1,73.0,46.0,49.0,63.0,34.0,59.0,Right,3,3,46,52,44,66,58,53,53.0,42,73,74,73,76,43,29,55,Medium/Medium,Normal (170-185)
M. Oukhattou,Mohamed Oukhattou,18,Netherlands,"CAM, CM",PEC Zwolle,Eredivisie,1.0,350000.0,750.0,726000.0,56,75,1,69.0,45.0,50.0,66.0,29.0,39.0,Right,2,3,42,49,40,68,64,61,59.0,42,38,67,71,78,24,28,42,Medium/Medium,Lean (170-185)
I. Kaczmarski,Iwo Kaczmarski,19,Poland,"CDM, CM",Empoli,Serie A,1.0,350000.0,900.0,849000.0,56,74,1,60.0,42.0,54.0,59.0,50.0,61.0,Right,3,3,37,60,46,60,56,56,49.0,67,56,64,57,72,47,49,55,Medium/High,Lean (170-185)
J. Yull,Jonny Yull,18,Australia,CAM,Adelaide United,A-League,1.0,350000.0,500.0,656000.0,56,74,1,71.0,45.0,50.0,57.0,41.0,52.0,Right,4,3,42,58,31,54,54,58,56.0,64,50,69,72,77,38,47,60,Medium/Medium,Lean (170-185)
T. Degreef,Tristan Degreef,18,Belgium,"CAM, CM",Anderlecht,Jupiler Pro League,1.0,350000.0,1000.0,744000.0,56,74,1,56.0,51.0,60.0,60.0,32.0,34.0,Right,3,2,46,61,60,61,63,55,37.0,45,32,55,57,67,32,36,41,Medium/Medium,Lean (170-185)
J. Hopkins,Jackson Hopkins,19,United States,"CAM, CM",DC United,Major League Soccer,1.0,375000.0,800.0,778000.0,56,74,1,64.0,38.0,55.0,57.0,38.0,59.0,Right,3,3,32,65,50,54,62,53,50.0,64,60,67,62,57,36,36,60,High/Medium,Lean (185+)
A. Bendle,Alfie Bendle,18,England,CDM,Forest Green Rovers,League Two,4.0,350000.0,700.0,831000.0,56,74,1,62.0,40.0,50.0,59.0,52.0,59.0,Right,3,2,40,57,42,57,59,50,46.0,62,60,64,60,69,53,52,38,Medium/High,Normal (170-185)
M. Macarthur,Matty Macarthur,18,Australia,"LM, RM, CAM",Gillingham,League Two,4.0,350000.0,1000.0,831000.0,56,74,1,87.0,43.0,47.0,57.0,26.0,44.0,Right,2,3,40,46,52,57,52,54,51.0,63,41,85,89,79,26,29,50,High/Medium,Normal (170-185)
V. Akinwale,Victor Akinwale,18,England,ST,Crystal Palace,Premier League,1.0,375000.0,3000.0,947000.0,56,74,1,65.0,60.0,45.0,59.0,21.0,39.0,Right,2,3,61,48,39,58,60,53,55.0,50,34,69,62,59,19,14,50,Medium/Medium,Normal (185+)
P. Saathof,Pim Saathof,19,Netherlands,RB,Go Ahead Eagles,Eredivisie,1.0,350000.0,800.0,726000.0,56,74,1,58.0,48.0,54.0,61.0,51.0,51.0,Right,2,2,46,64,44,60,63,46,43.0,50,45,64,53,67,48,53,54,Medium/Medium,Lean (170-185)
M. Rafferty,Marcus Rafferty,18,Sweden,CM,Hammarby,Allsvenskan,1.0,350000.0,500.0,656000.0,56,74,1,69.0,53.0,50.0,62.0,54.0,63.0,Right,3,3,54,58,37,62,60,47,50.0,70,58,68,70,72,51,55,52,Medium/Medium,Normal (170-185)
K. Rodney,Kaden Rodney,18,England,"CDM, RB",Crystal Palace,Premier League,1.0,350000.0,2000.0,884000.0,56,74,1,60.0,40.0,52.0,54.0,57.0,56.0,Right,2,2,32,54,51,54,53,49,53.0,50,61,59,61,58,57,61,50,Medium/Medium,Lean (185+)
K. Megwa,Kanayo Megwa,19,England,RB,Hibernian,Premiership,1.0,350000.0,700.0,831000.0,56,74,1,71.0,36.0,45.0,53.0,52.0,56.0,Right,4,3,31,48,46,48,51,39,47.0,61,51,74,68,68,51,56,46,Medium/High,Lean (170-185)
A. Nadolski,Aleksander Nadolski,18,Poland,"CAM, CM",Lech Poznań,Ekstraklasa,1.0,350000.0,600.0,709000.0,56,74,1,67.0,55.0,56.0,56.0,33.0,54.0,Right,3,2,57,62,52,54,57,51,57.0,52,58,71,64,62,31,37,54,Medium/Medium,Lean (170-185)
H. Obermeyer,Henry Obermeyer,17,Germany,"CDM, CB",DSC Arminia Bielefeld,3. Liga,3.0,350000.0,500.0,726000.0,56,74,1,66.0,36.0,48.0,52.0,55.0,57.0,Right,3,2,36,58,39,50,52,43,38.0,55,55,64,67,58,58,52,34,Medium/Medium,Lean (170-185)
E. Eghosa,Evan Eghosa,17,England,"CAM, ST, RW",Coventry City,Championship,2.0,350000.0,850.0,884000.0,56,74,1,78.0,48.0,53.0,61.0,31.0,43.0,Right,3,2,51,55,54,63,57,56,49.0,48,42,81,76,79,33,33,51,High/Medium,Lean (170-185)
A. Zulic,Anel Zulic,18,Slovenia,CB,Viborg,Superliga,1.0,350000.0,500.0,656000.0,56,74,1,62.0,25.0,41.0,50.0,56.0,61.0,Left,3,2,20,51,25,50,51,36,46.0,58,67,61,62,49,54,58,30,Medium/Medium,Normal (185+)
T. Wolff,Tyler Wolff,20,United States,"CM, CF, LW",Atlanta United,Major League Soccer,1.0,375000.0,1000.0,797000.0,56,73,1,72.0,44.0,56.0,59.0,36.0,50.0,Right,3,2,41,65,50,58,60,52,48.0,52,58,71,73,65,34,42,58,Medium/Medium,Normal (170-185)
F. Holst-Larsen,Fabian Holst-Larsen,18,Norway,RWB,Strømsgodset,Eliteserien,1.0,350000.0,500.0,656000.0,56,73,1,72.0,30.0,44.0,55.0,49.0,52.0,Right,3,2,29,51,51,53,55,35,41.0,60,51,73,71,68,47,53,43,High/Medium,Normal (170-185)
K. Habibullah,Kamron Habibullah,19,Canada,"LM, CAM",Vancouver Whitecaps,Major League Soccer,1.0,375000.0,800.0,778000.0,56,73,1,69.0,53.0,51.0,63.0,27.0,42.0,Right,3,3,50,56,49,62,60,55,58.0,32,51,72,67,81,20,34,53,Medium/Low,Normal (170-)
E. Özkan,Emil Özkan,19,Sweden,CM,Sirius,Allsvenskan,1.0,375000.0,500.0,703000.0,56,73,1,67.0,50.0,53.0,60.0,53.0,52.0,Right,3,2,47,59,46,57,59,53,55.0,50,52,66,67,78,53,55,56,Medium/Medium,Lean (170-185)
M. Woltman,Max Woltman,19,England,"CAM, ST",Oxford United,League One,3.0,375000.0,1000.0,891000.0,56,73,1,67.0,54.0,49.0,60.0,21.0,46.0,Right,3,2,55,55,47,60,59,48,49.0,52,48,69,66,65,15,19,58,Medium/Low,Lean (170-185)
T. Ouma,Timothy Noor Ouma,19,Kenya,CAM,Elfsborg,Allsvenskan,1.0,375000.0,550.0,703000.0,56,73,1,74.0,45.0,55.0,55.0,38.0,61.0,Right,2,2,42,60,48,55,59,55,40.0,64,62,76,73,60,32,40,52,Medium/Medium,Lean (170-185)
E. Roback,Emil Roback,20,Sweden,"LW, ST",Norrköping,Allsvenskan,1.0,375000.0,1000.0,703000.0,56,73,1,83.0,48.0,43.0,63.0,19.0,35.0,Right,3,3,48,46,44,61,61,45,56.0,34,32,84,83,83,15,18,48,High/Medium,Lean (185+)
J. Selvén,Johannes Selvén,19,Sweden,RW,OB,Superliga,1.0,375000.0,2000.0,703000.0,56,73,1,81.0,47.0,47.0,60.0,26.0,35.0,Right,3,2,50,50,46,57,59,47,52.0,34,34,80,81,81,21,29,49,Medium/Medium,Normal (170-)
C. Ligue,Calixte Paul Ligue,18,Switzerland,ST,Zürich,Super League,1.0,375000.0,850.0,778000.0,56,73,1,72.0,54.0,42.0,54.0,24.0,63.0,Left,3,3,55,53,27,51,54,50,45.0,63,68,70,74,65,17,26,55,Medium/Medium,Normal (170-185)
A. Aoraha,Alexander Aoraha,20,Iraq,CM,Queens Park Rangers,Championship,2.0,375000.0,2000.0,947000.0,56,73,1,66.0,44.0,55.0,61.0,46.0,53.0,Left,3,2,41,61,47,60,62,53,57.0,62,48,69,64,67,42,44,44,Medium/High,Lean (170-185)
Y. Gaya,Yacine Gaya,18,Algeria,CB,Angers SCO,Ligue 2,2.0,350000.0,500.0,849000.0,56,73,1,62.0,29.0,37.0,38.0,57.0,60.0,Right,3,2,26,46,28,31,42,38,43.0,63,61,60,63,46,56,60,29,Medium/Medium,Normal (170-185)
F. Reyes Marizán,Francisco Reyes Marizán,17,Dominican Republic,LB,FC Volendam,Eredivisie,1.0,350000.0,500.0,726000.0,56,73,1,60.0,27.0,46.0,52.0,52.0,51.0,Left,3,2,24,50,52,52,53,38,36.0,57,48,62,58,52,50,55,42,Medium/Medium,Lean (170-185)
J. Krupa,Jeroen Krupa,20,Germany,"ST, RM",Ingolstadt,3. Liga,3.0,375000.0,1000.0,778000.0,56,72,1,66.0,56.0,45.0,59.0,22.0,48.0,Right,3,2,60,56,37,57,62,41,47.0,59,49,71,61,67,19,19,53,Medium/Low,Lean (170-185)
M. Wörner,Marco Wörner,18,Germany,CAM,Freiburg II,3. Liga,3.0,350000.0,500.0,726000.0,56,72,1,68.0,52.0,49.0,57.0,42.0,57.0,Right,3,2,55,55,40,55,57,52,55.0,51,59,66,69,63,49,40,52,High/Medium,Normal (170-185)
L. Štubljar,Lovro Štubljar,18,Slovenia,GK,Empoli,Serie A,1.0,325000.0,500.0,788000.0,56,72,1,,,,,,,Left,1,1,7,19,13,14,17,38,36.0,29,55,21,22,24,8,14,8,Medium/Medium,Lean (185+)
A. Bøndergaard,Asbjørn Bøndergaard,19,Denmark,ST,Silkeborg,Superliga,1.0,375000.0,1000.0,703000.0,56,72,1,57.0,57.0,45.0,52.0,30.0,64.0,Right,3,2,58,50,31,49,54,49,50.0,60,69,56,58,56,28,25,55,Medium/Medium,Normal (170-185)
E. Haxhosaj,Elion Haxhosaj,18,Kosovo,LB,Unterhaching,3. Liga,3.0,350000.0,500.0,726000.0,56,72,1,65.0,24.0,43.0,52.0,52.0,54.0,Left,3,2,20,52,42,49,53,40,37.0,59,55,68,63,67,48,59,44,Medium/Medium,Lean (170-185)
A. Mondouo,Archange Mondouo,18,Côte d'Ivoire,"CAM, CM",HamKam,Eliteserien,1.0,350000.0,500.0,656000.0,56,72,1,67.0,47.0,53.0,63.0,38.0,56.0,Right,3,3,48,60,46,63,64,50,61.0,52,62,66,67,65,36,40,50,Medium/Medium,Normal (185+)
K. Andrews,Kai Andrews,16,England,"ST, CAM",Coventry City,Championship,2.0,350000.0,1000.0,884000.0,56,72,1,75.0,58.0,37.0,57.0,20.0,45.0,Right,3,2,61,39,30,57,58,51,43.0,54,45,73,77,53,13,19,57,Medium/Medium,Normal (170-185)
J. Altena,Jordi Altena,19,Netherlands,CM,Vitesse,Eredivisie,1.0,375000.0,1000.0,778000.0,56,72,1,63.0,53.0,56.0,56.0,48.0,54.0,Right,3,2,52,60,52,56,58,52,51.0,58,51,64,63,58,43,53,54,Medium/Medium,Normal (170-185)
C. Afoka,Chisom Afoka,19,England,LW,Bradford City,League Two,4.0,375000.0,7000.0,,56,72,1,80.0,53.0,43.0,58.0,28.0,50.0,Right,3,3,53,43,49,58,55,45,54.0,57,52,78,81,72,27,30,51,High/Medium,Normal (170-185)
S. Bala,Steven Bala,19,Albania,"CAM, LW, LM",Queens Park Rangers,Championship,2.0,375000.0,2000.0,947000.0,56,72,1,74.0,48.0,54.0,60.0,29.0,42.0,Right,2,2,52,57,52,59,57,56,57.0,46,42,73,75,72,32,27,43,High/Medium,Lean (170-185)
G. Dragomir,George Ionuț Dragomir,19,Romania,"RW, CAM, ST",Botoşani,Liga 1,1.0,350000.0,1000.0,691000.0,56,71,1,79.0,44.0,50.0,56.0,40.0,45.0,Left,2,2,45,55,56,56,54,47,45.0,51,39,76,82,71,39,36,50,Medium/Medium,Lean (170-185)
I. Jagne,Seedy Muhammed Ali Jagne,19,Sweden,CDM,Mjällby,Allsvenskan,1.0,325000.0,500.0,609000.0,56,71,1,68.0,41.0,50.0,56.0,52.0,65.0,Right,2,3,38,54,41,55,54,52,46.0,59,65,67,68,69,51,53,40,High/Medium,Lean (170-185)
S. Hazazi,Hazazi Sulaiman Yahya,20,Saudi Arabia,LB,Al Taawon,Pro League,1.0,325000.0,3000.0,739000.0,56,71,1,84.0,31.0,44.0,50.0,48.0,68.0,Left,3,2,25,52,50,50,47,34,37.0,64,72,80,88,57,43,54,47,High/Medium,Normal (170-)
L. Schulz,Lasse Schulz,20,Finland,GK,Viborg,Superliga,1.0,300000.0,900.0,,56,71,1,,,,,,,Right,3,1,8,20,14,11,18,39,29.0,15,63,21,18,22,8,11,5,Medium/Medium,Lean (185+)
M. Al Qahtani,Mohammed Hamad Al Qahtani,20,Saudi Arabia,"RM, LM, CAM",Al Hilal,Pro League,1.0,350000.0,4000.0,779000.0,56,71,1,68.0,48.0,48.0,62.0,29.0,46.0,Left,3,2,50,51,47,60,57,51,50.0,58,46,71,66,86,30,34,49,Medium/Medium,Lean (170-)
Han Jong Mu,Jong Mu Han,20,Korea Republic,CM,Jeju United,K League 1,1.0,350000.0,1000.0,656000.0,56,71,1,53.0,43.0,54.0,61.0,41.0,50.0,Right,3,2,42,59,41,64,58,60,50.0,65,45,55,52,58,39,44,43,Medium/Medium,Normal (170-185)
A. Nuñez,Alan Herminio Núñez Duarte,18,Paraguay,RB,Cerro Porteño,Primera División,1.0,325000.0,500.0,902000.0,56,71,1,67.0,27.0,47.0,53.0,54.0,49.0,Right,2,2,21,54,49,52,51,48,40.0,55,47,65,69,62,55,59,49,Low/Medium,Normal (170-185)
P. Fallmann,Pascal Fallmann,19,Austria,RB,Freiburg II,3. Liga,3.0,325000.0,2000.0,,56,71,1,71.0,26.0,46.0,56.0,50.0,53.0,Right,2,2,22,52,53,55,54,33,48.0,60,50,72,70,71,47,52,49,Medium/Medium,Lean (170-185)
M. Ejdum,Max Ejdum,18,Denmark,CM,OB,Superliga,1.0,325000.0,800.0,609000.0,56,71,1,72.0,40.0,55.0,62.0,41.0,52.0,Left,3,2,38,63,44,60,64,57,56.0,55,55,71,73,73,38,42,48,High/Medium,Lean (170-185)
T. Magnin,Théo Magnin,19,Switzerland,RB,Servette,Super League,1.0,325000.0,1000.0,674000.0,56,71,1,63.0,33.0,40.0,59.0,54.0,45.0,Right,3,2,30,43,45,57,54,35,46.0,61,32,64,62,72,60,53,35,Medium/High,Normal (170-185)
O. Pettersson,Oliver Pettersson,20,Finland,CB,HJK,Veikkausliiga,1.0,325000.0,500.0,902000.0,56,71,1,62.0,26.0,40.0,40.0,54.0,63.0,Right,3,2,24,51,28,29,48,35,44.0,62,70,59,64,52,51,57,22,Medium/Medium,Lean (185+)
P. Luján,Pablo Luján,20,Bolivia,RM,Blooming,Liga De Futbol Prof,1.0,350000.0,500.0,971000.0,56,71,1,65.0,41.0,51.0,57.0,41.0,51.0,Right,3,2,38,59,48,54,57,47,41.0,58,49,68,63,65,38,42,55,Medium/Medium,Normal (170-185)
J. Jantunen,Jaaso Jantunen,18,Finland,GK,Freiburg II,3. Liga,3.0,300000.0,500.0,623000.0,56,71,1,,,,,,,Right,4,1,9,20,14,12,16,31,28.0,19,60,16,15,21,7,13,9,Medium/Medium,Lean (185+)
S. Otusanya,Oluwasegun Samuel Otusanya,19,Nigeria,ST,Haugesund,Eliteserien,1.0,350000.0,550.0,656000.0,56,71,1,67.0,56.0,40.0,55.0,20.0,63.0,Left,3,2,58,45,30,52,54,50,52.0,50,72,68,67,66,18,18,52,Medium/Medium,Normal (185+)
A. Boşluk,Arif Boşluk,20,Turkey,LB,Trabzonspor,Super Lig,1.0,325000.0,5000.0,853000.0,56,71,1,68.0,36.0,50.0,57.0,53.0,56.0,Left,2,2,28,55,53,59,55,42,46.0,53,54,71,65,65,52,53,52,Medium/Medium,Normal (170-185)
B. Mpata Lama,Byani Mpata Lama,19,France,LB,Valenciennes,Ligue 2,2.0,325000.0,550.0,772000.0,56,71,1,66.0,31.0,43.0,48.0,56.0,53.0,Left,2,2,29,51,41,50,42,38,44.0,54,55,67,66,52,55,60,41,Medium/Medium,Lean (170-185)
N. Niehoff,Niklas Niehoff,18,Germany,"ST, RW",Holstein Kiel,2. Bundesliga,2.0,325000.0,2000.0,707000.0,56,71,1,72.0,54.0,53.0,61.0,31.0,53.0,Right,3,2,59,58,60,63,60,55,52.0,55,60,71,73,68,28,35,57,Medium/Medium,Normal (185+)
M. Zok,Malwin Zok,19,Germany,GK,Waldhof Mannheim,3. Liga,3.0,300000.0,500.0,623000.0,56,71,1,,,,,,,Right,3,1,5,15,13,7,18,22,38.0,20,72,31,38,35,8,14,6,Medium/Medium,Normal (185+)
J. Obikwu,Justin Obikwu,19,England,ST,Coventry City,Championship,2.0,350000.0,4000.0,884000.0,56,71,1,83.0,55.0,36.0,52.0,19.0,64.0,Right,3,2,60,40,29,50,52,38,51.0,59,77,82,84,57,16,14,49,Medium/Medium,Lean (185+)
B. Mbaye,Baye Ablaye Mbaye,19,Senegal,CB,Bastia,Ligue 2,2.0,325000.0,500.0,772000.0,56,71,1,63.0,22.0,32.0,49.0,55.0,62.0,Right,2,2,12,45,16,47,49,29,47.0,52,72,56,69,56,51,61,19,Medium/Medium,Normal (185+)
